,stars,body
0,5,"13106 is the retractable cord and has 400 steam holes. 13101 has 300 steam holes and a non-retractable cord. (This cord has the ability to adjust to fall to the right or left, which is a nice feature). The ceramic coated faceplate is nice, but not as smooth and ""slidey"" (haha) as a stainless steel faceplate. It took a little adjustment, but after a bit it didn't bother me.Other than the size/weight difference to allow for the retractable code and the steam holes, these two irons are very very similar. The 13101 faceplate is slightly shorter and the water opening is slightly smaller, and the on-light is in a different location. Everything else is the same.What i like: 30min auto shut off! As a quilter who alternates between pressing and sewing, the auto shut offs for most irons turn off too soon, so you are always waiting for it to heat up. Not so with a 30 min window- plus it beeps first to let you know so you can tip it to restart the timer. This gives me some piece of mind in the event i forget about the iron.Nice steam and a burst of steam button. It also has a sprayer built in and a nice sized reservoir so you arent constantly filling it.What I dont like:No off button/setting. You can't actually turn this iron off. You can leave it for 30 mins and it will shut off by itself, or you have to unplug it.The light stays on all the time if plugged in, even if the iron is not heated. This means if you want to keep your iron plugged in the light will stay on, even though it isn't hot.I decided to keep the 13101 iron as i do not actually put my iron away (leave it out in the sewing room) and I liked the lighter weight/smaller profile of the 13101 vs. the 13106."
1,V,"This is my first experience with a Chi iron.  I was impressed with its appearance and features. This is a well designed and sturdy iron, but let me elaborate on the 6 Ironclad reasons, I like it:1. Ceramic Soleplate versus Stainless Steel - I have used stainless steel or inox irons in the past but find they have issues with static and found the Chi iron to be a better performer with a nice distribution of steam and/or heat.  You don't have to worry about cooking your clothes with the Chi.2. Solid, comfortable grip - If you find yourself frequently ironing, you will appreciate the lightweight Chi (only 2 1/2 pounds) and how the iron glides with ease as opposed to other past or traditional irons3. Holier than thou - the 300 holes in the Soleplate distribute steam evenly and does a great job on your clothes.4. Precision and Precaution -  The automatic shutoff feature goes beyond my former iron.  If the iron falls over and is resting on its side or resting on its Soleplate, the iron will automatically shut off in 60 seconds.  I think this is important in our current world full of distractions.  The iron also automatically shuts off if not in use for 30 minutes.5. Water Fill Door - The water fill door flips up, and below is a funnel area where water is added.  Not only is this a more attractive design option, it is more manageable from a design perspective to add water, and there was no dribbling and spilling. Note: if you have extremely hard water, it's best to alternate between tap water and distilled water.6. 2 Year Warranty -  Yes, it's limited. However, the product is covered in most cases should there be a manufacturing defect.BUT WAIT... THERE'S MOREThis iron comes with a nice long 12ft cord that doesn't kink or tangle.  There is even a piece of Velcro attached for easy storage.The iron's settings are easy to understand.  There are choices for linen, cotton, wool, silk, synthetic, and min. (minimum setting is on the upper far right and is where the iron should be set for plugging and unplugging).  The dial moves seamlessly and there is a light click into each setting.Above the dial there is an adjustable steam lever.  You can choose levels from no steam to lots of steam.  This unit can really produce a nice puff of steam.I'd recommend keeping the instructions.  Not only do they advise about iron functions, but there are also tips on ironing, and ironing versus pressing, fabric facts, and care and cleaning (iron does have self cleaning function).The word ""Chi"" can mean many things, such as air, breath, and vital energy, and the balance of positive and negative energy. For me, the Chi iron made the mundane and undesirable task of ironing a lot more pleasant and was rightly named.Recommend!"
2,4,"This CHI Professional Steam Iron is a solid performer with many features usually only found on more expensive irons.My other iron is a Rowenta DW5080, which lists for $30 more than the CHI, but they are surprisingly similar in looks as well as features. Both are 1700 watts. Both have large temperature control dials under the handle. Both have steam burst and spray buttons on top of the iron. Both hold 10oz. of water. Both have multiple steam holes. Both have precision tips that allow you to easily iron around buttons, pleats, pockets and other challenging areas. Both have stable, rubberized iron rests that really grip your ironing board pad. Both have an auto-off features, although with differences in the auto-off time.The biggest difference between the two irons is the soleplate. The Rowenta has a stainless steel soleplate and this CHI has a titanium-infused ceramic soleplate. The soleplate is the reason I wanted to try this iron. I iron a lot of cotton and linen shirts and use fabric sizing or spray starch often. It builds up on a stainless steel soleplate and cleaning it off is a a chore - sometimes a major chore. I have heard that ceramic soleplates resist buildup and are much easier to clean.This iron is noticeably lighter than my Rowenta, although at 2.9 oz. dry weight, it isn't what I would call a lightweight iron. Weight is important depending upon what you normally iron and how much arm strength you have. In general, expensive irons are heavier and they have an advantage when ironing heavy cottons, linen and denim because the weight means you need to apply less pressure to get wrinkles out. However, if you generally iron lighter weight clothing and fabrics, the extra weight isn't necessary and can be tiring during long ironing sessions.I do iron a lot of heavy, natural fabrics that are prone to wrinkling but this iron handled them admirably. I did have to use more pressure than with my Rowenta, but not excessively so. It certainly got hot enough for even heavy denim and the steam it produces is abundant - needed to iron out wrinkles in heavy cotton and linen.The soleplate feels rather like the surface of a non-stick pan. It does not glide quite as smoothly over fabric as a mirror polished stainless steel soleplate but OMG, it's so much easier to clean! All you have to do is set the temp to the highest linen setting for 2 minutes and then iron over a damp, 100% cotton cloth like a dishcloth. I even tested it with heavy spray starch and all of the starch residue came off so easily with no iron cleaner required. This is a big plus for me as I starch my husband's shirts.The main downside to ceramic soleplates is that they are more fragile. You need to take care not to iron over zippers or snaps or rivets or other metal items because it can damage the ceramic coating. Also, never scrub it with a metal scouring pad or with an abrasive like Comet cleanser.There are 300 steam holes in the soleplate and it produces nice, even steam while ironing. Filling the water reservoir is as easy as any other iron. Flip open a lid on the top and pour 10 oz. of water into the reservoir. (I measured.) I suggest using a small measuring cup to measure 10 oz. because the red water reservoir is kind of hard to see through to gauge the water level and if you add too much water, you will get drips. Even though the red is stylish looking, I hope CHI will consider a clear reservoir in the future.If you have very hard water, as I do, CHI says to alternate between distilled water and tap water. Otherwise, you can use tap water all the time. There is a lever above the temperature dial that lets you set the amount of steam you want. There is also a self-clean button to keep the steam holes clear of any mineral build-up that might occur. Additionally, there is an anti-drip feature that prevents drips when dry ironing things like silk that will easily water spot.Another thing I LOVE is the 10 ft. cord. It's 2 feet longer than my Rowenta and believe me, it makes a difference.Another nice thing is the auto-off feature. If left face down or tipped on its side, the iron shuts off in 30 seconds. However, if left sitting up, it shuts off in 30 minutes. That's great for people who sew or quilt as it isn't turning off all the time, leaving you to wait for it to heat up again.I sew a great deal, along with ironing clothing, so a good iron is important to me. My thoughts are that if you iron clothing a lot and use sizing or spray starch, this is a fabulous iron because of the ease with which you can clean the soleplate. It also offers superior performance without the weight of many premium irons for people who have minimal arm strength. If you are someone who irons heavy, wrinkle-prone fabrics on a regular basis, a heavier, stainless steel soleplate makes ironing easier and it goes faster because of the weight of the iron.Since I iron clothing and all sorts of fabric on a regular basis, I'm happy to have both irons. Why not have different irons for different ironing needs? Especially since this CHI iron makes ironing my husband's shirts sooooo much easier!UPDATE 4/12/2018: I also have the Manual Controls with Retractable Cord version of this iron, now, too. It is basically the same iron as the base model but with a few extra goodies. First, it has a retractable cord, which I love. It makes it safer for me to allow the iron to cool down because I don't have to worry about cats or kids yanking on the cord. However, the cord is only 8ft long on the retractable version - 2ft shorter than on the standard corded version.The controls are identical on both irons.The soleplate is titanium ceramic coated on both irons but on the retractable cord version, it has 400 steam holes vs 300 steam holes and the soleplate is just a bit longer. The extra holes provide more steam delivery so are good for people who use the steam feature heavily.The retractable cord iron is taller, too, to accommodate the coiled cord inside and it's a little heavier for the same reason.The port where you add water is more elongated and just a bit easier to fill on the retractable cord version, too.There are some other, strictly cosmetic differences but basically, it is the same iron with a deluxe (more steam holes) soleplate and a shorter, retractable cord. I think if you are trying to decide between the two models, it comes down to whether or not you like the retractable cord and whether or not you want the larger number of steam holes."
3,5,"This is a wonderful iron!  I've used it regularly for about 6 months. The weight seems perfect - heavy enough but not too heavy and it's very well balanced. The extra long cord is very convenient and the 30 minute automatic shut off is a great feature - one of the main reasons I chose the Chi. As a quilter, I don't have to worry about the iron constantly shutting off while I am sewing but I also know that if I were ever to forget and leave the iron on, it would turn itself off in 30 minutes. Best iron ever!"
4,5,"Absolutey the best iron I have ever had - and I've had many brands including 3 Rowentas, including the top end one. Amazingly light, more steamholes than any other iron - but I think it is the 1700 watts that really is the key. All my friends wanted to try it and swore they were going home to order one. I never heard of this brand before, but if it holds up well and I get a couple of years out of it working well, I'll be deliriously happy. If you haven't ever used 1700 watts - order this and test for yourself.  (I wear a lot of linen and ironing it with this iron is a totally new experience! And a very pleasant one!  One or two passes and zero wrinkles.  I also sew and the key to a professional look starts with being able to get a good press on the seams - something I have never had before without a lot of effort...zippo effort with this one!"
5,2,"First of all, this iron really is sleek.  Out of the box, it heats nicely and puts off a moderate amount of steam when the steam is turned fully up.  I don't think it's as powerful as the advertising copy above states (my cheap Black & Decker was more powerful), but it's good enough for most purposes.The soleplate is shaped really nicely and is large enough for good sized areas but tapers to get those little bits.  It heats to the tip, which I've found doesn't always happen with other irons.  I had no problems filling the water reservoir right out of the jug of my distilled water.These features earn it two stars.The Bad - Or Why This Iron Doesn't Get Three More Stars.I purchased this iron first in February 2018.  I sew about 30 hours a week as a seamstress, and I use the iron at least 4-5 hours a week.  What I iron is almost entirely 100% cotton.Within a week, it failed to come to full temperature or generate hardly any steam.  Within another week I heard an alarming crackling and popping from inside the iron, and then with the last pop, it suddenly turned off, also triggering my surge protector.  It would not turn back on or heat up after that.  I exchanged it for another one with Amazon.The replacement iron arrived March 2018, and worked very well.  I was pleased with it.  But the soleplate suddenly gunked up (and I still can't figure out why since it was all washed cotton without sizing or starch.)I used Faultless Hot Iron Cleaner on it, after checking both Faultless's and CHI's websites and manuals to be sure it was okay on ceramic.  I used baby washcloth material to lightly rub the Hot Iron Cleaner on, and within seconds the ""ultra-strong and scratch-resistant"" (above ad copy's words) was wearing off, as you can see in the pictures.  It really looks worse already than my previous iron, which is 5 years old and from Walmart, and still works even though I dropped several times early on! (totally my fault!)My mistake was contacting CHI and not Amazon, since I was still within the Amazon return window.  I wanted more information, and Amazon couldn't give it.  I gave CHI my purchase date in the initial email, and told them what happened.  They immediately responded asking for more information, and I responded back as it sounded like they would replace the defective iron.  After a week, I emailed again, because I hadn't gotten a response.  During that week, my return window with Amazon lapsed.  Since then they have responded quickly to my emails again.What you don't know when you purchase this product is that the limited warranty doesn't cover the shipping fees to replace a defective iron.  They were willing to replace my month-old defective iron but only if they could charge my credit card around $12 to ship it to me.  This is spelled out the ""Care and Use"" manual sealed inside the iron box (and also if you happen to be extra smart and download the PDF manual under ""technical specifications"" in the Product Information of this Amazon listing, it's on page 11, which I didn't.)The shipping price isn't outlandish for something of that weight, and customer service even offered me a discounted rate of $8, which was very kind.  But I agreed to pay Amazon's price.  I'm not willing to pay more to get what I paid for - a non-defective iron.  Especially as so far, the odds don't seem to be in my favor with this iron.  I'll use it until it's unusable, and then I'll be going with a different brand.So buyer beware the warranty!If you found this helpful, would you please click the ""yes"" button?"
6,5,"I was in need of a good iron after the cheap one I purchased 12 years ago finally bit the dust.  I wanted to be sure to purchase a good quality iron this time around.  After reading several reviews on different irons, I decided to take a chance on the CHI.  I'm so glad I did!  This iron is amazing.  When I get done ironing my husband's stubborn Columbia shirts it looks like I've taken them to the dry cleaners to have them pressed!  For a girl who once hated ironing, I really don't mind it as much now that I have the CHI.  Plus it comes with a 2 year warranty!  I would def recommend this to anyone looking for a good high quality iron."
7,5,"I am basically a quilter and I also collect and use vintage tablecloths. I have had numerous irons that are ok for a while but in the end just don’t do the job. My main complaint as a quilter was the short time before the iron automatically shut down. You’d get a piece ready to iron and you’d have to wait until it heated up again. Maddening! I actually was looking for an expensive well known iron but everyone was out. I bought this one, a brand totally unknown to me, because it had a 30 min time before it shut down. I’ve used it for a couple weeks and it is hands down the BEST iron I have ever had. I LOVE it! It’s fine without steam but spectacular with it. Unless you need it for stiffness ( like my tablecloths) you won’t need starch to iron out wrinkles. It’s really great."
8,1,This Chi iron is absolutely horrible. The plate got completely ruined after only 1 week of light used and cannot be cleaned. Its now unusable and I would like someone to contact me about this! I have photos as well
9,5,"I purchased this iron almost a year ago to replace a one year Rowenta that fell off my ironing board and broke.  I didn't want to purchase another Rowenta because I wasn't impressed with it. After doing a lot of reviews, I settled for this (CHI Steam Iron with Titaniun Infused Soleplate - Model 13101).  I couldn't be happier with my decision.  The iron is actually the best I've ever owned.  I line dry a lot of cotton blouses, so require good steam to remove the wrinkles.  This does the trick.  I don't have to use both steam and spray nor do I need to iron the same spot over and over to get the wrinkles out.  My hubby and I are not laundry day ironers, so we do one or two items on average 4 times/week. I do not empty the water reservoir and have had no issues after almost a year of use.  Great value - Fantastic iron"
